Brand Name,Product Category,Width Profile,Width Disclaimer Text,GraphQL Brand Slug,GraphQL Category Slug,mm Min,mm Max,Recommended Label,Size Attribute Value
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,183,187,EU 31,31eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,188,192,EU 32,32eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,193,197,EU 33,33eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,198,202,EU 34,34eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,208,212,EU 35 / US Men 1.5 / US Women 3,35eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,213,217,EU 35.5 / US Men 2 / US Women 3.5,35-5eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,218,222,EU 36 / US Men 3 / US Women 4.5,36eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,228,232,EU 37 / US Men 4 / US Women 5.5,37eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,233,237,EU 38 / US Men 5 / US Women 6.5,38eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,243,247,EU 39 / US Men 6 / US Women 7.5,39eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,248,252,EU 39.5 / US Men 6.5 / US Women 8,39-5eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,253,257,EU 40 / US Men 7 / US Women 8.5,40eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,258,262,EU 40.5 / US Men 7.5 / US Women 9,40-5eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,263,267,EU 41 / US Men 8 / US Women 9.5,41eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,268,272,EU 41.5 / US Men 8.5 / US Women 10,41-5eu
CHAYA,roller_skates,average,CHAYA sizing follows a more average quad-skate profile. Use the millimeter recommendation as the baseline and review product notes for model-specific comfort guidance.,chaya,roller-skating,273,277,EU 42 / US Men 9 / US Women 10.5,42eu
